t;y
0,000000E0;3,411561E-1
3,333333E-2;3,411286E-1
6,666667E-2;3,411295E-1
1,000000E-1;3,401747E-1
1,333333E-1;3,391435E-1
1,666667E-1;3,380870E-1
2,000000E-1;3,367059E-1
2,333333E-1;3,352268E-1
2,666667E-1;3,328058E-1
3,000000E-1;3,307539E-1
3,333333E-1;3,283119E-1
3,666667E-1;3,257675E-1
4,000000E-1;3,228346E-1
4,333333E-1;3,192941E-1
4,666667E-1;3,159267E-1
5,000000E-1;3,121070E-1
5,333333E-1;3,084773E-1
5,666667E-1;3,040259E-1
6,000000E-1;2,995539E-1
6,333333E-1;2,947548E-1
6,666667E-1;2,897743E-1
7,000000E-1;2,847697E-1
7,333333E-1;2,792983E-1
7,666667E-1;2,733816E-1
8,000000E-1;2,671528E-1
8,333333E-1;2,610468E-1
8,666667E-1;2,544569E-1
9,000000E-1;2,475295E-1
9,333333E-1;2,406086E-1
9,666667E-1;2,333497E-1
1,000000E0;2,260864E-1
1,033333E0;2,184340E-1
1,066667E0;2,100298E-1
1,100000E0;2,017347E-1
1,133333E0;1,931449E-1
1,166667E0;1,845883E-1
1,200000E0;1,755150E-1
1,233333E0;1,661031E-1
1,266667E0;1,564802E-1
1,300000E0;1,469276E-1
1,333333E0;1,374289E-1
1,366667E0;1,273004E-1
1,400000E0;1,168349E-1
1,433333E0;1,062691E-1
1,466667E0;9,530484E-2
1,500000E0;8,427101E-2
1,533333E0;7,289274E-2
1,566667E0;6,134784E-2
1,600000E0;5,904747E-2
1,633333E0;5,734650E-2
