t;x;y
0;6,82E-02;-0,897
1,67E-02;6,75E-02;-0,897
3,33E-02;6,66E-02;-0,897
5,00E-02;6,39E-02;-0,897
6,67E-02;6,18E-02;-0,897
8,33E-02;5,83E-02;-0,897
0,1;5,51E-02;-0,898
0,117;5,00E-02;-0,898
0,133;4,52E-02;-0,898
0,15;3,98E-02;-0,897
0,167;3,39E-02;-0,898
0,183;2,75E-02;-0,898
0,2;2,08E-02;-0,898
0,217;1,37E-02;-0,898
0,233;6,60E-03;-0,898
0,25;-5,47E-04;-0,898
0,267;-8,16E-03;-0,898
0,283;-1,55E-02;-0,898
0,3;-2,32E-02;-0,898
0,317;-3,01E-02;-0,898
0,333;-3,80E-02;-0,898
0,35;-4,46E-02;-0,897
0,367;-5,07E-02;-0,897
0,383;-5,63E-02;-0,896
0,4;-6,22E-02;-0,895
0,417;-6,76E-02;-0,895
0,433;-7,27E-02;-0,895
0,45;-7,72E-02;-0,894
0,467;-8,08E-02;-0,894
0,483;-8,40E-02;-0,894
0,5;-8,60E-02;-0,894
0,517;-8,78E-02;-0,893
0,533;-8,91E-02;-0,894
0,55;-8,93E-02;-0,894
0,567;-8,92E-02;-0,894
0,583;-8,85E-02;-0,894
0,6;-8,70E-02;-0,894
0,617;-8,48E-02;-0,894
0,633;-8,21E-02;-0,895
0,65;-7,84E-02;-0,895
0,667;-7,43E-02;-0,895
0,683;-6,99E-02;-0,896
0,7;-6,51E-02;-0,895
0,717;-5,90E-02;-0,896
0,733;-5,31E-02;-0,896
0,75;-4,70E-02;-0,897
0,767;-4,00E-02;-0,897
0,783;-3,30E-02;-0,897
0,8;-2,55E-02;-0,898
0,817;-1,82E-02;-0,898
0,833;-1,12E-02;-0,898
0,85;-3,57E-03;-0,898
0,867;3,69E-03;-0,898
0,883;1,11E-02;-0,898
0,9;1,78E-02;-0,898
0,917;2,42E-02;-0,898
0,933;2,99E-02;-0,898
0,95;3,60E-02;-0,898
0,967;4,13E-02;-0,897
0,983;4,66E-02;-0,897
1;5,12E-02;-0,897
1,017;5,51E-02;-0,897
1,033;5,85E-02;-0,897
1,05;6,16E-02;-0,897
1,067;6,40E-02;-0,897
1,083;6,58E-02;-0,897
1,1;6,68E-02;-0,897
1,117;6,73E-02;-0,897
1,133;6,74E-02;-0,897
1,15;6,59E-02;-0,897
1,168;6,42E-02;-0,897
1,185;6,14E-02;-0,897
1,202;5,85E-02;-0,897
1,218;5,55E-02;-0,897
1,235;5,09E-02;-0,898
1,252;4,64E-02;-0,898
1,268;4,10E-02;-0,898
1,285;3,50E-02;-0,898
1,302;2,89E-02;-0,898
1,318;2,23E-02;-0,898
1,335;1,58E-02;-0,898
1,352;8,76E-03;-0,898
1,368;1,54E-03;-0,898
1,385;-5,92E-03;-0,898
1,402;-1,36E-02;-0,898
1,418;-2,10E-02;-0,898
1,435;-2,83E-02;-0,898
1,452;-3,57E-02;-0,897
1,468;-4,22E-02;-0,897
1,485;-4,89E-02;-0,897
1,502;-5,53E-02;-0,896
1,518;-6,08E-02;-0,896
1,535;-6,63E-02;-0,895
1,552;-7,15E-02;-0,895
1,568;-7,55E-02;-0,895
1,585;-7,97E-02;-0,894
1,602;-8,28E-02;-0,894
1,618;-8,52E-02;-0,894
1,635;-8,70E-02;-0,894
1,652;-8,84E-02;-0,894
1,668;-8,91E-02;-0,894
1,685;-8,91E-02;-0,894
1,702;-8,88E-02;-0,894
1,718;-8,69E-02;-0,894
